Method,Scenario,phi,rho,alpha,FWER,FWER_CI,FDR,FDR_CI,Power,Power_CI,Keff,Keff_CI,Avg_tStar,Threshold
Bonferroni,phi=0.0,0.0,0.5,0.05,3.0%,"[0.0%, 100.0%]",1.1%,"[0.0%, 16.7%]",17.0%,"[0.0%, 50.0%]",-,-,-,-
Holm,phi=0.0,0.0,0.5,0.05,3.2%,"[0.0%, 100.0%]",1.2%,"[0.0%, 16.7%]",17.5%,"[0.0%, 50.0%]",-,-,-,-
BH,phi=0.0,0.0,0.5,0.05,12.8%,"[0.0%, 100.0%]",3.0%,"[0.0%, 26.2%]",28.7%,"[0.0%, 80.0%]",-,-,-,-
Bootstrap-Single,phi=0.0,0.0,0.5,0.05,5.2%,"[0.0%, 100.0%]",2.0%,"[0.0%, 31.1%]",22.0%,"[0.0%, 60.0%]",14.81,"[8.08, 25.00]",2.95,2.95
Bootstrap-RomanoWolf,phi=0.0,0.0,0.5,0.05,4.8%,"[0.0%, 100.0%]",1.9%,"[0.0%, 25.0%]",21.2%,"[0.0%, 55.2%]",15.02,"[8.25, 25.00]",-,Adaptive
Bonferroni,phi=0.3,0.3,0.5,0.05,24.6%,"[0.0%, 100.0%]",9.4%,"[0.0%, 55.2%]",22.4%,"[0.0%, 60.0%]",-,-,-,-
Holm,phi=0.3,0.3,0.5,0.05,25.4%,"[0.0%, 100.0%]",9.5%,"[0.0%, 55.2%]",23.0%,"[0.0%, 60.0%]",-,-,-,-
BH,phi=0.3,0.3,0.5,0.05,44.2%,"[0.0%, 100.0%]",14.4%,"[0.0%, 57.1%]",33.7%,"[0.0%, 80.0%]",-,-,-,-
Bootstrap-Single,phi=0.3,0.3,0.5,0.05,19.0%,"[0.0%, 100.0%]",8.1%,"[0.0%, 100.0%]",17.6%,"[0.0%, 50.0%]",24.96,"[25.00, 25.00]",3.36,3.36
Bootstrap-RomanoWolf,phi=0.3,0.3,0.5,0.05,18.2%,"[0.0%, 100.0%]",7.9%,"[0.0%, 100.0%]",17.3%,"[0.0%, 50.0%]",24.95,"[25.00, 25.00]",-,Adaptive
Bonferroni,phi=0.6,0.6,0.5,0.05,79.8%,"[0.0%, 100.0%]",38.2%,"[0.0%, 100.0%]",25.7%,"[0.0%, 60.0%]",-,-,-,-
Holm,phi=0.6,0.6,0.5,0.05,80.6%,"[0.0%, 100.0%]",38.5%,"[0.0%, 100.0%]",26.7%,"[0.0%, 70.0%]",-,-,-,-
BH,phi=0.6,0.6,0.5,0.05,91.2%,"[0.0%, 100.0%]",43.2%,"[0.0%, 100.0%]",38.0%,"[0.0%, 80.0%]",-,-,-,-
Bootstrap-Single,phi=0.6,0.6,0.5,0.05,53.4%,"[0.0%, 100.0%]",28.4%,"[0.0%, 100.0%]",16.9%,"[0.0%, 50.0%]",25.00,"[25.00, 25.00]",3.74,3.74
Bootstrap-RomanoWolf,phi=0.6,0.6,0.5,0.05,52.4%,"[0.0%, 100.0%]",28.3%,"[0.0%, 100.0%]",16.9%,"[0.0%, 50.0%]",25.00,"[25.00, 25.00]",-,Adaptive
Bonferroni,phi=0.9,0.9,0.5,0.05,100.0%,"[100.0%, 100.0%]",60.2%,"[38.0%, 80.0%]",48.9%,"[20.0%, 80.0%]",-,-,-,-
Holm,phi=0.9,0.9,0.5,0.05,100.0%,"[100.0%, 100.0%]",60.4%,"[40.0%, 81.0%]",51.8%,"[20.0%, 90.0%]",-,-,-,-
BH,phi=0.9,0.9,0.5,0.05,100.0%,"[100.0%, 100.0%]",60.2%,"[44.6%, 76.9%]",63.4%,"[30.0%, 100.0%]",-,-,-,-
Bootstrap-Single,phi=0.9,0.9,0.5,0.05,65.4%,"[0.0%, 100.0%]",48.7%,"[0.0%, 100.0%]",7.1%,"[0.0%, 30.0%]",25.00,"[25.00, 25.00]",8.50,8.50
Bootstrap-RomanoWolf,phi=0.9,0.9,0.5,0.05,62.4%,"[0.0%, 100.0%]",46.4%,"[0.0%, 100.0%]",7.0%,"[0.0%, 30.0%]",25.00,"[25.00, 25.00]",-,Adaptive
Bonferroni,rho=0.0,0.5,0.0,0.05,66.0%,"[0.0%, 100.0%]",26.9%,"[0.0%, 75.0%]",24.5%,"[0.0%, 50.0%]",-,-,-,-
Holm,rho=0.0,0.5,0.0,0.05,67.6%,"[0.0%, 100.0%]",27.4%,"[0.0%, 75.0%]",25.3%,"[0.0%, 60.0%]",-,-,-,-
BH,rho=0.0,0.5,0.0,0.05,84.2%,"[0.0%, 100.0%]",34.0%,"[0.0%, 66.7%]",37.6%,"[0.0%, 70.0%]",-,-,-,-
Bootstrap-Single,rho=0.0,0.5,0.0,0.05,38.6%,"[0.0%, 100.0%]",19.2%,"[0.0%, 100.0%]",16.0%,"[0.0%, 40.0%]",25.00,"[25.00, 25.00]",3.66,3.66
Bootstrap-RomanoWolf,rho=0.0,0.5,0.0,0.05,39.4%,"[0.0%, 100.0%]",19.3%,"[0.0%, 100.0%]",15.7%,"[0.0%, 40.0%]",25.00,"[25.00, 25.00]",-,Adaptive
Bonferroni,rho=0.3,0.5,0.3,0.05,62.0%,"[0.0%, 100.0%]",26.4%,"[0.0%, 100.0%]",24.6%,"[0.0%, 60.0%]",-,-,-,-
Holm,rho=0.3,0.5,0.3,0.05,63.2%,"[0.0%, 100.0%]",26.7%,"[0.0%, 100.0%]",25.5%,"[0.0%, 60.0%]",-,-,-,-
BH,rho=0.3,0.5,0.3,0.05,81.4%,"[0.0%, 100.0%]",33.5%,"[0.0%, 75.0%]",36.7%,"[0.0%, 80.0%]",-,-,-,-
Bootstrap-Single,rho=0.3,0.5,0.3,0.05,38.6%,"[0.0%, 100.0%]",20.5%,"[0.0%, 100.0%]",16.1%,"[0.0%, 45.2%]",25.00,"[25.00, 25.00]",3.65,3.65
