Method,Nominal_Alpha,Realized_FWER,FWER_SE,Realized_FDR,FDR_SE,Power,Calibration_Error
Bonferroni,0.010,0.002,0.002,0.001,0.001,0.074,0.008
Holm,0.010,0.002,0.002,0.001,0.001,0.074,0.008
BH,0.010,0.010,0.004,0.003,0.001,0.100,0.000
Bootstrap-Single,0.010,0.008,0.004,0.003,0.001,0.104,0.002
Bootstrap-RomanoWolf,0.010,0.004,0.003,0.002,0.001,0.079,0.006
Bonferroni,0.025,0.022,0.007,0.011,0.003,0.107,0.003
Holm,0.025,0.022,0.007,0.011,0.003,0.109,0.003
BH,0.025,0.046,0.009,0.014,0.003,0.177,0.021
Bootstrap-Single,0.025,0.024,0.007,0.011,0.003,0.135,0.001
Bootstrap-RomanoWolf,0.025,0.020,0.006,0.008,0.003,0.127,0.005
Bonferroni,0.050,0.042,0.009,0.025,0.006,0.159,0.008
Holm,0.050,0.044,0.009,0.024,0.006,0.164,0.006
BH,0.050,0.118,0.014,0.032,0.005,0.269,0.068
Bootstrap-Single,0.050,0.054,0.010,0.025,0.005,0.193,0.004
Bootstrap-RomanoWolf,0.050,0.058,0.010,0.031,0.006,0.192,0.008
