Method,Nominal_Alpha,Realized_FWER,FWER_SE,Realized_FDR,FDR_SE,Power,Calibration_Error
Bonferroni,0.010,0.070,0.011,0.038,0.007,0.116,0.060
Holm,0.010,0.072,0.012,0.039,0.007,0.118,0.062
BH,0.010,0.130,0.015,0.057,0.008,0.160,0.120
Bootstrap-Single,0.010,0.062,0.011,0.030,0.006,0.111,0.052
Bootstrap-RomanoWolf,0.010,0.034,0.008,0.022,0.006,0.086,0.024
Bonferroni,0.025,0.116,0.014,0.057,0.008,0.169,0.091
Holm,0.025,0.138,0.015,0.063,0.008,0.172,0.113
BH,0.025,0.244,0.019,0.096,0.009,0.254,0.219
Bootstrap-Single,0.025,0.106,0.014,0.049,0.007,0.161,0.081
Bootstrap-RomanoWolf,0.025,0.104,0.014,0.048,0.007,0.152,0.079
Bonferroni,0.050,0.186,0.017,0.089,0.010,0.203,0.136
Holm,0.050,0.200,0.018,0.093,0.010,0.211,0.150
BH,0.050,0.348,0.021,0.140,0.010,0.329,0.298
Bootstrap-Single,0.050,0.190,0.018,0.090,0.010,0.206,0.140
Bootstrap-RomanoWolf,0.050,0.178,0.017,0.084,0.010,0.201,0.128
