Method,Nominal_Alpha,Realized_FWER,FWER_SE,Realized_FDR,FDR_SE,Power,Calibration_Error
Bonferroni,0.010,0.988,0.005,0.595,0.005,0.430,0.978
Holm,0.010,0.988,0.005,0.595,0.005,0.453,0.978
BH,0.010,0.994,0.003,0.598,0.004,0.529,0.984
Bootstrap-Single,0.010,0.310,0.021,0.222,0.016,0.045,0.300
Bootstrap-RomanoWolf,0.010,0.258,0.020,0.183,0.015,0.037,0.248
Bonferroni,0.025,0.990,0.004,0.593,0.005,0.471,0.965
Holm,0.025,0.992,0.004,0.591,0.005,0.497,0.967
BH,0.025,0.998,0.002,0.593,0.004,0.590,0.973
Bootstrap-Single,0.025,0.438,0.022,0.305,0.017,0.068,0.413
Bootstrap-RomanoWolf,0.025,0.398,0.022,0.285,0.017,0.059,0.373
Bonferroni,0.050,0.994,0.003,0.587,0.005,0.504,0.944
Holm,0.050,0.994,0.003,0.585,0.005,0.538,0.944
BH,0.050,0.996,0.003,0.591,0.004,0.635,0.946
Bootstrap-Single,0.050,0.530,0.022,0.343,0.016,0.095,0.480
Bootstrap-RomanoWolf,0.050,0.516,0.022,0.334,0.016,0.095,0.466
