Method,Alpha,TrueAlt_Survivor%,TrueAlt_Survivor_SE,Null_Survivor%,Null_Survivor_SE,TrueAlt_IQR,Null_IQR,Stability_Ratio
Bonferroni,0.010,0.1%,0.000,0.0%,0.000,0.489,0.488,0.56
Holm,0.010,0.0%,0.000,0.0%,0.000,0.488,0.490,0.46
BH,0.010,0.1%,0.000,0.1%,0.000,0.489,0.491,0.70
Bootstrap-Single,0.010,0.1%,0.000,0.1%,0.000,0.487,0.489,1.02
Bootstrap-RomanoWolf,0.010,2.3%,0.000,2.2%,0.000,0.491,0.489,1.02
Bonferroni,0.025,0.1%,0.000,0.1%,0.000,0.489,0.489,0.94
Holm,0.025,0.1%,0.000,0.1%,0.000,0.491,0.489,0.96
BH,0.025,0.2%,0.000,0.2%,0.000,0.491,0.488,0.98
Bootstrap-Single,0.025,0.2%,0.000,0.2%,0.000,0.490,0.491,0.97
Bootstrap-RomanoWolf,0.025,2.3%,0.000,2.3%,0.000,0.490,0.489,1.02
Bonferroni,0.050,0.2%,0.000,0.2%,0.000,0.488,0.489,0.96
Holm,0.050,0.2%,0.000,0.2%,0.000,0.488,0.491,0.96
BH,0.050,0.4%,0.000,0.4%,0.000,0.489,0.489,1.03
Bootstrap-Single,0.050,0.3%,0.000,0.4%,0.000,0.489,0.490,0.96
Bootstrap-RomanoWolf,0.050,6.2%,0.001,6.4%,0.000,0.487,0.491,0.97
