Method,Alpha,TrueAlt_Survivor%,TrueAlt_Survivor_SE,Null_Survivor%,Null_Survivor_SE,TrueAlt_IQR,Null_IQR,Stability_Ratio
Bonferroni,0.010,18.6%,0.001,18.4%,0.001,0.384,0.388,1.01
Holm,0.010,19.4%,0.001,19.2%,0.001,0.392,0.387,1.01
BH,0.010,26.5%,0.002,26.5%,0.002,0.387,0.392,1.00
Bootstrap-Single,0.010,0.1%,0.000,0.1%,0.000,0.385,0.388,0.97
Bootstrap-RomanoWolf,0.010,2.3%,0.000,2.2%,0.000,0.390,0.391,1.03
Bonferroni,0.025,21.6%,0.001,21.8%,0.001,0.387,0.389,0.99
Holm,0.025,22.8%,0.001,22.7%,0.001,0.389,0.387,1.00
BH,0.025,32.7%,0.002,32.6%,0.001,0.387,0.386,1.00
Bootstrap-Single,0.025,0.2%,0.000,0.2%,0.000,0.387,0.389,1.03
Bootstrap-RomanoWolf,0.025,2.2%,0.000,2.3%,0.000,0.388,0.388,0.98
Bonferroni,0.050,24.6%,0.001,24.8%,0.001,0.389,0.390,0.99
Holm,0.050,26.4%,0.001,26.1%,0.001,0.384,0.390,1.01
BH,0.050,38.2%,0.002,38.5%,0.001,0.388,0.386,0.99
Bootstrap-Single,0.050,0.4%,0.000,0.4%,0.000,0.388,0.388,0.96
Bootstrap-RomanoWolf,0.050,6.3%,0.001,6.4%,0.000,0.386,0.388,0.98
