Method,Alpha,TrueAlt_Survivor%,TrueAlt_Survivor_SE,Null_Survivor%,Null_Survivor_SE,TrueAlt_IQR,Null_IQR,Stability_Ratio
Bonferroni,0.010,0.2%,0.000,0.2%,0.000,0.516,0.517,1.07
Holm,0.010,0.2%,0.000,0.2%,0.000,0.517,0.516,0.99
BH,0.010,0.5%,0.000,0.5%,0.000,0.513,0.516,1.00
Bootstrap-Single,0.010,0.2%,0.000,0.2%,0.000,0.514,0.514,1.04
Bootstrap-RomanoWolf,0.010,2.2%,0.000,2.3%,0.000,0.515,0.517,0.99
Bonferroni,0.025,0.4%,0.000,0.4%,0.000,0.514,0.517,0.95
Holm,0.025,0.4%,0.000,0.4%,0.000,0.515,0.514,1.00
BH,0.025,1.3%,0.000,1.3%,0.000,0.516,0.513,1.02
Bootstrap-Single,0.025,0.4%,0.000,0.4%,0.000,0.515,0.513,1.02
Bootstrap-RomanoWolf,0.025,2.3%,0.000,2.2%,0.000,0.516,0.517,1.02
Bonferroni,0.050,0.7%,0.000,0.7%,0.000,0.517,0.515,1.04
Holm,0.050,0.7%,0.000,0.7%,0.000,0.514,0.515,0.98
BH,0.050,2.2%,0.001,2.2%,0.001,0.516,0.514,1.00
Bootstrap-Single,0.050,0.8%,0.000,0.8%,0.000,0.517,0.518,1.00
Bootstrap-RomanoWolf,0.050,6.7%,0.001,6.8%,0.000,0.514,0.515,0.98
