Method,Alpha,TrueAlt_Survivor%,TrueAlt_Survivor_SE,Null_Survivor%,Null_Survivor_SE,TrueAlt_IQR,Null_IQR,Stability_Ratio
Bonferroni,0.010,18.4%,0.002,18.3%,0.002,0.386,0.388,1.01
Holm,0.010,19.5%,0.002,19.6%,0.002,0.390,0.386,1.00
BH,0.010,26.3%,0.002,26.3%,0.002,0.393,0.396,1.00
Bootstrap-Single,0.010,0.3%,0.000,0.3%,0.000,0.387,0.388,1.04
Bootstrap-RomanoWolf,0.010,2.3%,0.000,2.3%,0.000,0.385,0.388,1.01
Bonferroni,0.025,21.7%,0.002,21.8%,0.002,0.393,0.388,0.99
Holm,0.025,23.3%,0.002,23.3%,0.002,0.390,0.391,1.00
BH,0.025,32.9%,0.002,33.0%,0.002,0.384,0.386,1.00
Bootstrap-Single,0.025,0.5%,0.000,0.5%,0.000,0.381,0.383,1.01
Bootstrap-RomanoWolf,0.025,2.3%,0.000,2.3%,0.000,0.393,0.394,1.00
Bonferroni,0.050,24.7%,0.002,24.8%,0.002,0.389,0.391,1.00
Holm,0.050,27.0%,0.002,26.9%,0.002,0.388,0.386,1.00
BH,0.050,38.6%,0.002,38.3%,0.002,0.387,0.383,1.01
Bootstrap-Single,0.050,0.7%,0.000,0.7%,0.000,0.386,0.384,1.01
Bootstrap-RomanoWolf,0.050,6.8%,0.001,6.8%,0.000,0.391,0.388,1.00
